Endcoded dist to endzone and endzone approach rate as node features.

Loading weekly data: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 18/18 [00:07<00:00,  2.41it/s]
2025-12-13 13:44:50,757 - INFO - Tracking input shape: (4880579, 23), output shape: (562936, 6)
2025-12-13 13:44:56,926 - INFO - Joined input and output tracking data: 14108 unique plays, 1384 unique nfl_ids
2025-12-13 13:44:56,926 - INFO - Standardizing direction of play and players to be left to right
2025-12-13 13:44:58,007 - INFO - Approximating missing speed, acceleration and direction values
2025-12-13 13:45:00,277 - INFO - Correlation results for imputations: s_approx: speed R²=0.9897 | a_approx: accel R²=0.0445 | dir_approx: dir R²=0.0442
2025-12-13 13:45:00,868 - INFO - Joining supplemental data to plays DataFrame
2025-12-13 13:45:00,898 - INFO - Loading NFL PBP data for season 2023
2025-12-13 13:45:00,898 - INFO - Loading pbp from local parquet file
2025-12-13 13:45:01,144 - INFO - Mapping player IDs to nfl_id using seasonal rosters
2025-12-13 13:45:01,144 - INFO - Rosters for season 2023 already cached, loading from parquet
2025-12-13 13:45:13,902 - WARNING - Dropping gpid 2023091001_3216 with no passer and no QB
2025-12-13 13:45:14,437 - INFO - Defaulting passer to QB for play without a passer: 2023102208_2326
2025-12-13 13:45:15,589 - WARNING - Dropping gpid 2023091002_599 with no passer and no QB
2025-12-13 13:45:16,135 - INFO - Defaulting passer to QB for play without a passer: 2023121600_1352
2025-12-13 13:45:17,365 - INFO - Defaulting passer to QB for play without a passer: 2023123108_1819
2025-12-13 13:45:18,618 - WARNING - Dropping gpid 2023111905_2752 with no passer and no QB
2025-12-13 13:45:19,176 - INFO - Defaulting passer to QB for play without a passer: 2023100801_391
2025-12-13 13:45:20,309 - INFO - Defaulting passer to QB for play without a passer: 2023100105_3337
2025-12-13 13:45:21,440 - INFO - Defaulting passer to QB for play without a passer: 2023100107_1374
2025-12-13 13:45:22,572 - INFO - Defaulting passer to QB for play without a passer: 2023101200_2306
2025-12-13 13:45:23,776 - WARNING - Dropping gpid 2023112606_4180 with no passer and no QB
2025-12-13 13:45:24,336 - WARNING - Dropping gpid 2023121009_3594 with no passer and no QB
2025-12-13 13:45:24,910 - INFO - Defaulting passer to QB for play without a passer: 2023102907_281
2025-12-13 13:45:26,093 - INFO - Defaulting passer to QB for play without a passer: 2023092406_3048
2025-12-13 13:45:27,229 - INFO - Defaulting passer to QB for play without a passer: 2023121400_1904
2025-12-13 13:45:28,461 - INFO - Defaulting passer to QB for play without a passer: 2023111203_1068
2025-12-13 13:45:29,657 - INFO - Defaulting passer to QB for play without a passer: 2023121400_2596
2025-12-13 13:45:30,904 - INFO - Defaulting passer to QB for play without a passer: 2023122407_1051
2025-12-13 13:45:32,132 - INFO - Estimating ball path for each play
2025-12-13 13:45:32,514 - WARNING - Dropping gpid 2023092406_3048 with 0 passers and 1 receivers
2025-12-13 13:45:32,534 - WARNING - Dropping gpid 2023100105_3337 with 0 passers and 1 receivers
2025-12-13 13:45:32,536 - WARNING - Dropping gpid 2023100107_1374 with 0 passers and 1 receivers
2025-12-13 13:45:32,552 - WARNING - Dropping gpid 2023100801_391 with 0 passers and 1 receivers
2025-12-13 13:45:32,568 - WARNING - Dropping gpid 2023101200_2306 with 0 passers and 1 receivers
2025-12-13 13:45:32,601 - WARNING - Dropping gpid 2023102208_2326 with 0 passers and 1 receivers
2025-12-13 13:45:32,618 - WARNING - Dropping gpid 2023102907_281 with 0 passers and 1 receivers
2025-12-13 13:45:32,653 - WARNING - Dropping gpid 2023111203_1068 with 0 passers and 1 receivers
2025-12-13 13:45:32,748 - WARNING - Dropping gpid 2023121400_1904 with 0 passers and 1 receivers
2025-12-13 13:45:32,748 - WARNING - Dropping gpid 2023121400_2596 with 0 passers and 1 receivers
2025-12-13 13:45:32,749 - WARNING - Dropping gpid 2023121600_1352 with 0 passers and 1 receivers
2025-12-13 13:45:32,805 - WARNING - Dropping gpid 2023123108_1819 with 0 passers and 1 receivers
2025-12-13 13:45:52,376 - INFO - Finished estimating ball path for 14091 plays
2025-12-13 13:45:55,224 - INFO - Loading team description info from cached parquet.
2025-12-13 13:45:55,359 - INFO - Dropping 2 plays with >4.0s ball airtime
2025-12-13 13:45:59,073 - INFO - Defender dataset built: 31895 rows, 12 cols
2025-12-13 13:45:59,209 - INFO - Trained model artifacts found.
2025-12-13 13:45:59,228 - INFO - Loaded model and metadata from /Users/lukeneuendorf/projects/nfl-big-data-bowl-2026/data/models/defender_reach
Filtering plays with over 4 defenders: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 126/126 [00:00<00:00, 211.58it/s]
2025-12-13 13:45:59,944 - INFO - Dropping 1400 plays with no defenders within 10 yards of the pass landing point
2025-12-13 13:46:04,435 - INFO - Final number of pass plays: 12691
Preparing samples for EPA model: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 12691/12691 [01:37<00:00, 129.90it/s]
2025-12-13 13:47:42,144 - INFO - Starting model training
2025-12-13 13:47:44,367 - INFO - Epoch 01 | Train Loss: 0.809 | Val Loss: 0.793
2025-12-13 13:47:46,595 - INFO - Epoch 02 | Train Loss: 0.735 | Val Loss: 0.775
2025-12-13 13:47:48,732 - INFO - Epoch 03 | Train Loss: 0.691 | Val Loss: 0.699
2025-12-13 13:47:50,977 - INFO - Epoch 04 | Train Loss: 0.667 | Val Loss: 0.675
2025-12-13 13:47:53,199 - INFO - Epoch 05 | Train Loss: 0.639 | Val Loss: 0.670
2025-12-13 13:47:55,361 - INFO - Epoch 06 | Train Loss: 0.620 | Val Loss: 0.657
2025-12-13 13:47:57,636 - INFO - Epoch 07 | Train Loss: 0.605 | Val Loss: 0.620
2025-12-13 13:47:59,912 - INFO - Epoch 08 | Train Loss: 0.593 | Val Loss: 0.625
2025-12-13 13:48:02,211 - INFO - Epoch 09 | Train Loss: 0.589 | Val Loss: 0.602
2025-12-13 13:48:04,433 - INFO - Epoch 10 | Train Loss: 0.574 | Val Loss: 0.605
2025-12-13 13:48:06,671 - INFO - Epoch 11 | Train Loss: 0.562 | Val Loss: 0.610
2025-12-13 13:48:08,863 - INFO - Epoch 12 | Train Loss: 0.555 | Val Loss: 0.589
2025-12-13 13:48:11,133 - INFO - Epoch 13 | Train Loss: 0.556 | Val Loss: 0.586
2025-12-13 13:48:13,438 - INFO - Epoch 14 | Train Loss: 0.535 | Val Loss: 0.582
